set0,evoked0,quest0,cond0,chan1,later0,coron0,tmin0,class0,mode0,type0,subj0,runn0,nave0,latX,valX
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,39mrxm,0,,,1.492969
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,40asxm,0,,,3.49147125
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,41roxm,0,,,2.47912925
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,42aszm,0,,,1.37125675
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.11,bva,pos,chan0,03mjkf,0,,,-0.816425
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.11,bva,pos,chan0,04mkkm,0,,,-2.55537
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.11,bva,pos,chan0,05jwxf,0,,,-1.453168
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.11,bva,pos,chan0,06pppm,0,,,-4.18046025
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.11,bva,pos,chan0,07zrxf,0,,,-4.24781825
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.11,bva,pos,chan0,08pnxm,0,,,-2.9597655
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.11,bva,pos,chan0,10mczf,0,,,-4.90897425
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.11,bva,pos,chan0,11kbxm,0,,,-2.44972
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.11,bva,pos,chan0,12jnxf,0,,,-1.7642587500000002
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.11,bva,pos,chan0,13jsxm,0,,,-0.6799587500000002
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.11,bva,pos,chan0,14ktxf,0,,,-1.69595825
